index,cercania_subtes,cercania_av,cercania_tren,cercania_bus,cercania_hospi,cercania_est_edu,cercania_univ,cercania_comisarias,cercania_verde,cant_deptos,cant_subte,cant_hospi,cant_univ,cant_edu,cant_banco,cant_gastro,cant_cult,cant_delito
Parque Avellaneda,0.016885496442537017,0.000990265599594889,0.013698143813107303,0.01656211140667271,0.02176807361919608,0.0018161280007146009,0.01618509741533373,0.008567392495141013,0.002472780310846259,21.16216216216216,0.0,0.0,0.0,5.864864864864865,0.40540540540540543,0.0,1.8783783783783783,118.82432432432432
Parque Chacabuco,0.005004351833868133,0.0006946289762764685,0.01552893790384662,0.01635559470501093,0.01008443802496181,0.0016098496693251944,0.009738029558785598,0.00957526139075255,0.0024138727635829964,51.16107382550336,0.5503355704697986,0.12751677852348994,0.11409395973154363,7.859060402684563,1.1140939597315436,0.0,2.046979865771812,165.91275167785236
Parque Chas,0.005859384867090098,0.001072697277050133,0.008033582204577986,0.013692300690102613,0.007587894100283904,0.0022112627216898826,0.009231253987271272,0.011765384660463911,0.0026446973685375053,39.44230769230769,0.3269230769230769,0.0,0.0,4.153846153846154,1.1730769230769231,0.0,2.423076923076923,109.82692307692308
Parque Patricios,0.00331392451495455,0.000750069287515415,0.012174626773474917,0.003714807379101059,0.003704836646782351,0.0009376671077655084,0.010563229686981286,0.00593435623138366,0.0026526814351975872,59.9940119760479,0.7964071856287425,0.6107784431137725,0.03592814371257485,14.808383233532934,2.7065868263473054,0.0,4.077844311377246,167.64670658682635
Paternal,0.015168437534314601,0.0011337885947266448,0.0056277538180697015,0.004156292238562106,0.005260772607826752,0.002622158280294224,0.00871531966830089,0.013032746418450713,0.0028650114030259123,22.952380952380953,0.0,0.38095238095238093,0.14285714285714285,4.380952380952381,0.5476190476190477,0.11904761904761904,1.2380952380952381,85.88095238095238
Pompeya,0.010298721118088492,0.0007882256133134546,0.009055524078545771,0.0032013110672751283,0.011197193647347456,0.0016426770627131285,0.011660308062380689,0.007099829583120289,0.00162012113299194,17.92,0.04,0.0,0.02,8.96,1.9,0.0,2.18,151.18
Puerto Madero,0.01003479988107952,0.002700329412931801,0.004000009926144381,0.006674608716402151,0.015597098752530344,0.0038695313060106255,0.004344236964912453,0.009978170644461213,0.0010769920627452536,158.10271903323263,0.0,0.0,0.7945619335347432,0.6888217522658611,1.283987915407855,0.29003021148036257,3.338368580060423,7.459214501510574
Recoleta,0.0036707912264911636,0.0010431565617365418,0.01431006759678066,0.01621643356072053,0.007728562246021053,0.001312042570936328,0.003596504070853628,0.005161151661161754,0.0016782249264320577,234.12583222370174,0.8661784287616512,0.2210386151797603,1.7290279627163783,13.386151797603196,8.881491344873503,0.5958721704394141,19.924766977363515,370.5892143808256
Retiro,0.004869956164948566,0.0010036786270232235,0.007360943628824129,0.004187157780085107,0.021379662109169636,0.0013187678784512215,0.003348467223748063,0.004441691276886953,0.0013842976053373836,116.67247386759581,0.45993031358885017,0.0,1.745644599303136,12.059233449477352,13.174216027874564,2.059233449477352,36.045296167247386,347.29616724738673
Saavedra,0.019501203870316407,0.0009002171921570822,0.006097987336110647,0.013157299948289144,0.01960304983105626,0.0015994897759839528,0.011585541918214357,0.0074678517600972275,0.0012678663609272166,95.09501187648456,0.0,0.0,0.171021377672209,6.790973871733967,1.3016627078384797,0.16389548693586697,2.838479809976247,126.33491686460808
San Cristobal,0.002524544156626997,0.0009353104220897632,0.015214241003716322,0.006752690311204315,0.006055085817889469,0.0011240204349765583,0.005929025716317036,0.0046691427751117094,0.002790349666947645,96.67768595041322,1.3264462809917354,0.15289256198347106,0.19008264462809918,13.524793388429751,2.5165289256198347,0.0,4.483471074380165,271.4710743801653
San Nicolas,0.0019603694067950707,0.0007836910945903012,0.013002053869211303,0.004958709326207411,0.02190112562053004,0.0011217074359287978,0.002040576993618153,0.0046828599451666005,0.0017031151232027412,112.67073170731707,2.5951219512195123,0.0,4.080487804878048,16.521951219512196,25.23170731707317,4.109756097560975,81.36341463414634,796.3658536585366
San Telmo,0.005417678910935916,0.0008407253180910446,0.008753795565047394,0.006002457818266154,0.008569142874140385,0.0011279817884518087,0.003341966019564414,0.002018137150894533,0.001400844672860426,426.91074380165287,0.2975206611570248,0.009917355371900827,0.9008264462809917,19.29421487603306,0.656198347107438,2.8495867768595042,35.373553719008264,430.1719008264463
Velez Sarsfield,0.02331853284376647,0.0010623300083697658,0.00912775216784962,0.006272026829241447,0.014844089551769813,0.0018618179231819178,0.022083291998381573,0.00996783015017718,0.002290209828841866,36.295918367346935,0.0,0.04081632653061224,0.0,6.959183673469388,0.673469387755102,0.0,2.2346938775510203,158.18367346938774
Versalles,0.05213709539312774,0.0013961653318205719,0.011008041950919126,0.005189482642273779,0.015005997960064138,0.002256407950485096,0.03422076093752973,0.0049555935124880315,0.0019007217533368822,16.869565217391305,0.0,0.0,0.0,3.869565217391304,0.0,0.0,1.565217391304348,102.26086956521739
Villa Crespo,0.005062278247268061,0.0010656055565214707,0.009059900781842227,0.005214588916633701,0.011795332172233901,0.0013560799206678033,0.01086871252622813,0.0058327630914801155,0.003954915162139909,242.36281179138322,0.4467120181405896,0.0045351473922902496,0.03741496598639456,11.465986394557824,4.086167800453515,0.1961451247165533,8.505668934240363,257.78231292517006
Villa Devoto,0.038753581257946375,0.0010256253928877634,0.006316134499609872,0.010989441007775136,0.008640352397010376,0.0015608066509114771,0.008865678952107154,0.00875169456440126,0.0028130980229842256,32.41081081081081,0.0,0.08648648648648649,0.16216216216216217,6.854054054054054,2.0108108108108107,0.43243243243243246,1.1135135135135135,113.72432432432433
Villa General Mitre,0.01782478514678829,0.0014252415755048196,0.011228068742629504,0.0035309149010571586,0.00795842727124109,0.0013351230331653675,0.012692493075560099,0.006385152881589264,0.003575737176551418,56.59428571428571,0.0,0.11428571428571428,0.0,9.474285714285715,1.502857142857143,0.0,3.0514285714285716,157.72571428571428
Villa Lugano,0.035644115036803835,0.0011751484849704585,0.010569728205630681,0.012429678641498668,0.02168497181219015,0.002239844866338861,0.01129183103012634,0.009320207005346965,0.0014020768244641362,10.907692307692308,0.0,0.015384615384615385,0.046153846153846156,6.384615384615385,0.5076923076923077,0.0,1.2,121.29230769230769
Villa Luro,0.03352930593896509,0.0011722652312719467,0.0042115363163691445,0.0064311656447444375,0.01418016097818542,0.0017406147049903143,0.03259467476398829,0.004979612284043879,0.0022913558161235564,86.38857142857142,0.0,0.0,0.0,6.182857142857143,0.8342857142857143,0.0,2.7714285714285714,133.50285714285715
Villa Ortuzar,0.004350414308263645,0.0006600603780134245,0.009092363140162398,0.018827807579602892,0.007471506099876672,0.0017135827323582636,0.005378481806783771,0.010545161378576508,0.0017643198170121967,54.265957446808514,0.40425531914893614,0.22340425531914893,0.44680851063829785,5.1063829787234045,0.9893617021276596,0.3191489361702128,2.574468085106383,119.44680851063829
Villa Pueyrredon,0.02059336871344002,0.002099037224121589,0.005712589169893109,0.011003525856675698,0.01906270588538858,0.001812103029438703,0.009761597873916124,0.009902011430986228,0.003301898990201381,32.74,0.0,0.0,0.03,7.12,0.54,0.02,0.37,113.83
Villa Real,0.056831486557043655,0.0025524452822630913,0.018743466696323763,0.015981173628512122,0.019334216796368934,0.0016000329340932855,0.025329598728209307,0.011211216041853517,0.0021639645247452026,18.916666666666668,0.0,0.0,0.0,7.833333333333333,2.0,0.0,1.625,112.0
Villa Riachuelo,0.0484411319145548,0.0005977169394590294,0.013291372179071675,0.002842902795654309,0.025988411896353696,0.0024300602130471554,0.015060109501550853,0.009305574870075266,0.0026712071864447317,7.0,0.0,0.0,0.0,3.7777777777777777,0.5555555555555556,0.0,0.3333333333333333,95.88888888888889
Villa Santa Rita,0.02019091463067038,0.0017195190312021638,0.014897974225990039,0.006446464779523089,0.013403614353910492,0.0017229388024220587,0.014721999448237768,0.009556101223007128,0.004653335808726618,37.613207547169814,0.0,0.0,0.0,7.556603773584905,1.6603773584905661,0.07547169811320754,0.5754716981132075,170.88679245283018
Villa Soldati,0.03127471000662635,0.001036903016817072,0.007224559696262563,0.0035163448526086723,0.012959903039403427,0.004574430239433841,0.021193124429588588,0.011778856183178183,0.001380090711241332,3.625,0.0,0.0,0.0,5.75,0.5,0.0,0.375,87.875
Villa Urquiza,0.006512232272780083,0.0013099028533264548,0.0055005626170629845,0.02357877518511181,0.01781990752974629,0.0015222168613912052,0.006158287046611148,0.005895105621314372,0.0022011093385451374,221.36038647342994,0.15265700483091788,0.008695652173913044,0.08695652173913043,9.170048309178744,1.944927536231884,0.2753623188405797,4.132367149758454,147.1478260869565
Villa del Parque,0.027795890004517827,0.003375221952199435,0.004784318231809527,0.006208398217476306,0.014385201151239297,0.0017083230865941532,0.011322145638580736,0.014686456004831544,0.0022123219892043852,109.28102189781022,0.0,0.0,0.06569343065693431,9.069343065693431,5.697080291970803,0.0,3.437956204379562,116.2992700729927
